F1 cross,Female no.,No. of embryos,A,AB,B,WT,filename,Additional info,Observations (No. embryos not counted),cleavage,group_letter,cas9_parent,gRNA_type,target_locus,multiplex,pre_cut,mosaic,id,win,loss,pre_cut_original,gRNA_type_original
CdKO x (1759A:1590B) ME,1,NA,36,32,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,68,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,1,68,0,wild-type,1759
CdKO x (1759A:1590B) ME,2,NA,51,54,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,105,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,2,105,0,wild-type,1759
CdKO x (1759A:1590B) ME,3,NA,62,59,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,121,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,3,121,0,wild-type,1759
CdKO x (1759A:1590B) ME,4,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,NA,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,4,NA,NA,wild-type,1759
CdKO x (1759A:1590B) ME,5,NA,61,66,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,127,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,5,127,0,wild-type,1759
CdKO x (1759A:1590B) ME,6,NA,8,10,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,18,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,6,18,0,wild-type,1759
CdKO x (1759A:1590B) ME,7,NA,61,55,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,116,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,7,116,0,wild-type,1759
CdKO x (1759A:1590B) ME,8,NA,66,74,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,140,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,8,140,0,wild-type,1759
CdKO x (1759A:1590B) ME,9,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,NA,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,9,NA,NA,wild-type,1759
CdKO x (1759A:1590B) ME,10,NA,55,47,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,102,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,10,102,0,wild-type,1759
CdKO x (1759A:1590B) ME,11,NA,58,68,3,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,126,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,11,126,3,wild-type,1759
CdKO x (1759A:1590B) ME,12,NA,75,81,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,156,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,12,156,0,wild-type,1759
CdKO x (1759A:1590B) ME,13,NA,50,67,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,117,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,13,117,0,wild-type,1759
CdKO x (1759A:1590B) ME,14,NA,66,49,0,0,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,115,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,14,115,0,wild-type,1759
CdKO x (1759A:1590B) ME,15,0,NA,NA,NA,NA,./data//Crossing data summary A_1759 B_1590 - CLEAN.xlsx,NA,NA,NA,a,Male,cd<sup><i>g384</i></sup>,locus A,no,wild-type,yes,15,NA,NA,wild-type,1759
